"topic","term","beta"
1,"de",5.87558651655593e-82
1,"carga",0.0588235294117647
1,"e",0.117647058823529
1,"empresas",0.0588235294117647
1,"impostos",0.0588235294117647
1,"para",0.117647058823529
1,"reduz",0.0588235294117647
1,"reforma",0.0588235294117647
1,"simplifica",0.0588235294117647
1,"tributaria",0.0588235294117647
1,"ampliado",3.81095509090091e-119
1,"basica",3.81095509090091e-119
1,"do",5.06993880599926e-82
1,"educacao",3.81095509090091e-119
1,"fundeb",3.81095509090091e-119
1,"novos",3.81095509090091e-119
1,"recebe",3.81095509090091e-119
1,"recursos",7.11371560031583e-82
1,"alfabetizacao",1.19009929741796e-119
1,"aprendizagem",1.19009929741796e-119
1,"metas",1.19009929741796e-119
1,"novo",8.74949368634617e-120
1,"pne",1.19009929741796e-119
1,"sao",4.46233600275317e-82
1,"condicoes",2.96907188269195e-119
1,"debatem",2.96907188269195e-119
1,"escolas",2.96907188269195e-119
1,"nas",5.82596871449149e-82
1,"professores",2.96907188269195e-119
1,"remuneracao",2.96907188269195e-119
1,"trabalho",2.96907188269195e-119
1,"cofins",6.08178253691018e-120
1,"dual",6.08178253691018e-120
1,"fiscal",6.08178253691018e-120
1,"icms",6.08178253691018e-120
1,"iva",6.08178253691018e-120
1,"modelo",6.08178253691018e-120
1,"no",6.08178253691018e-120
1,"pis",6.08178253691018e-120
1,"substitui",6.08178253691018e-120
1,"aliquotas",0.0588235294117647
1,"congresso",0.0588235294117647
1,"debate",0.0588235294117647
1,"economicos",0.0588235294117647
1,"excecoes",0.0588235294117647
1,"setores",0.0588235294117647
1,"artificial",2.96907188269195e-119
1,"da",2.96907188269195e-119
1,"dados",5.51557796306186e-82
1,"inteligencia",2.96907188269195e-119
1,"legal",2.96907188269195e-119
1,"marco",2.96907188269195e-119
1,"regulamenta",2.96907188269195e-119
1,"uso",2.96907188269195e-119
1,"lei",2.52008923362317e-119
1,"na",2.52008923362317e-119
1,"nova",2.52008923362317e-119
1,"prioridades",2.52008923362317e-119
1,"privacidade",2.52008923362317e-119
1,"seguranca",2.52008923362317e-119
1,"algoritmos",3.14629157119187e-119
1,"auditoria",3.14629157119187e-119
1,"ia",3.14629157119187e-119
1,"precisam",3.14629157119187e-119
1,"publica",3.14629157119187e-119
1,"transparencia",3.14629157119187e-119
1,"amplia",3.86130202665584e-82
1,"habitacional",3.40825177424973e-82
1,"moradia",3.86130202665584e-82
1,"popular",3.86130202665584e-82
1,"programa",3.86130202665584e-82
1,"afeta",3.14629157119187e-119
1,"baixa",3.14629157119187e-119
1,"cidades",3.14629157119187e-119
1,"deficit",3.14629157119187e-119
1,"familias",3.14629157119187e-119
1,"renda",3.14629157119187e-119
1,"em",3.81095509090091e-119
1,"favelas",3.81095509090091e-119
1,"fundiaria",3.81095509090091e-119
1,"regularizacao",3.81095509090091e-119
1,"urbanizacao",3.81095509090091e-119
2,"de",0.0882352941176471
2,"carga",1.85566992668267e-120
2,"e",0.0588235294117647
2,"empresas",1.85566992668267e-120
2,"impostos",1.85566992668267e-120
2,"para",2.61863979418887e-119
2,"reduz",1.85566992668267e-120
2,"reforma",1.85566992668267e-120
2,"simplifica",1.85566992668267e-120
2,"tributaria",1.85566992668267e-120
2,"ampliado",0.0294117647058823
2,"basica",0.0294117647058823
2,"do",0.0294117647058823
2,"educacao",0.0294117647058823
2,"fundeb",0.0294117647058823
2,"novos",0.0294117647058823
2,"recebe",0.0294117647058823
2,"recursos",0.0294117647058823
2,"alfabetizacao",2.97524824354489e-120
2,"aprendizagem",2.97524824354489e-120
2,"metas",2.97524824354489e-120
2,"novo",2.18737342158666e-120
2,"pne",2.97524824354489e-120
2,"sao",1.79345076862905e-119
2,"condicoes",0.0294117647058823
2,"debatem",0.0294117647058823
2,"escolas",0.0294117647058823
2,"nas",0.0294117647058823
2,"professores",0.0294117647058823
2,"remuneracao",0.0294117647058823
2,"trabalho",0.0294117647058823
2,"cofins",1.52044563422763e-120
2,"dual",1.52044563422763e-120
2,"fiscal",1.52044563422763e-120
2,"icms",1.52044563422763e-120
2,"iva",1.52044563422763e-120
2,"modelo",1.52044563422763e-120
2,"no",1.52044563422763e-120
2,"pis",1.52044563422763e-120
2,"substitui",1.52044563422763e-120
2,"aliquotas",2.38184693181305e-120
2,"congresso",2.38184693181305e-120
2,"debate",0.0294117647058823
2,"economicos",2.38184693181305e-120
2,"excecoes",2.38184693181305e-120
2,"setores",2.38184693181305e-120
2,"artificial",0.0294117647058823
2,"da",0.0294117647058823
2,"dados",0.0294117647058823
2,"inteligencia",0.0294117647058823
2,"legal",0.0294117647058823
2,"marco",0.0294117647058823
2,"regulamenta",0.0294117647058823
2,"uso",0.0294117647058823
2,"lei",6.30022308405789e-120
2,"na",6.30022308405789e-120
2,"nova",6.30022308405789e-120
2,"prioridades",6.30022308405789e-120
2,"privacidade",6.30022308405789e-120
2,"seguranca",6.30022308405789e-120
2,"algoritmos",7.86572892798009e-120
2,"auditoria",7.86572892798009e-120
2,"ia",7.86572892798009e-120
2,"precisam",7.86572892798009e-120
2,"publica",7.86572892798009e-120
2,"transparencia",7.86572892798009e-120
2,"amplia",1.34284733423815e-119
2,"habitacional",1.04622452275279e-119
2,"moradia",1.34284733423815e-119
2,"popular",1.34284733423815e-119
2,"programa",1.34284733423815e-119
2,"afeta",7.86572892798009e-120
2,"baixa",7.86572892798009e-120
2,"cidades",7.86572892798009e-120
2,"deficit",7.86572892798009e-120
2,"familias",7.86572892798009e-120
2,"renda",7.86572892798009e-120
2,"em",0.0294117647058823
2,"favelas",0.0294117647058823
2,"fundiaria",0.0294117647058823
2,"regularizacao",0.0294117647058823
2,"urbanizacao",0.0294117647058823
3,"de",0.114285714285714
3,"carga",1.75114647775118e-120
3,"e",0.0571428571428572
3,"empresas",1.75114647775118e-120
3,"impostos",1.75114647775118e-120
3,"para",0.0285714285714286
3,"reduz",1.75114647775118e-120
3,"reforma",1.75114647775118e-120
3,"simplifica",1.75114647775118e-120
3,"tributaria",1.75114647775118e-120
3,"ampliado",8.99074303077806e-120
3,"basica",8.99074303077806e-120
3,"do",2.18468833680414e-119
3,"educacao",8.99074303077806e-120
3,"fundeb",8.99074303077806e-120
3,"novos",8.99074303077806e-120
3,"recebe",8.99074303077806e-120
3,"recursos",0.0285714285714286
3,"alfabetizacao",2.80766283227571e-120
3,"aprendizagem",2.80766283227571e-120
3,"metas",2.80766283227571e-120
3,"novo",2.06416626559516e-120
3,"pne",2.80766283227571e-120
3,"sao",0.0285714285714286
3,"condicoes",7.00458591100395e-120
3,"debatem",7.00458591100395e-120
3,"escolas",7.00458591100395e-120
3,"nas",0.0285714285714286
3,"professores",7.00458591100395e-120
3,"remuneracao",7.00458591100395e-120
3,"trabalho",7.00458591100395e-120
3,"cofins",1.43480420666699e-120
3,"dual",1.43480420666699e-120
3,"fiscal",1.43480420666699e-120
3,"icms",1.43480420666699e-120
3,"iva",1.43480420666699e-120
3,"modelo",1.43480420666699e-120
3,"no",1.43480420666699e-120
3,"pis",1.43480420666699e-120
3,"substitui",1.43480420666699e-120
3,"aliquotas",2.24768575769464e-120
3,"congresso",2.24768575769464e-120
3,"debate",2.02291718192505e-119
3,"economicos",2.24768575769464e-120
3,"excecoes",2.24768575769464e-120
3,"setores",2.24768575769464e-120
3,"artificial",7.00458591100395e-120
3,"da",7.00458591100395e-120
3,"dados",0.0285714285714286
3,"inteligencia",7.00458591100395e-120
3,"legal",7.00458591100395e-120
3,"marco",7.00458591100395e-120
3,"regulamenta",7.00458591100395e-120
3,"uso",7.00458591100395e-120
3,"lei",0.0285714285714286
3,"na",0.0285714285714286
3,"nova",0.0285714285714286
3,"prioridades",0.0285714285714286
3,"privacidade",0.0285714285714286
3,"seguranca",0.0285714285714286
3,"algoritmos",0.0285714285714286
3,"auditoria",0.0285714285714286
3,"ia",0.0285714285714286
3,"precisam",0.0285714285714286
3,"publica",0.0285714285714286
3,"transparencia",0.0285714285714286
3,"amplia",0.0285714285714286
3,"habitacional",0.0571428571428572
3,"moradia",0.0285714285714286
3,"popular",0.0285714285714286
3,"programa",0.0285714285714286
3,"afeta",0.0285714285714286
3,"baixa",0.0285714285714286
3,"cidades",0.0285714285714286
3,"deficit",0.0285714285714286
3,"familias",0.0285714285714286
3,"renda",0.0285714285714286
3,"em",8.99074303077806e-120
3,"favelas",8.99074303077806e-120
3,"fundiaria",8.99074303077806e-120
3,"regularizacao",8.99074303077806e-120
3,"urbanizacao",8.99074303077806e-120
4,"de",5.25710372533949e-82
4,"carga",5.94225605331066e-120
4,"e",0.105263157894737
4,"empresas",5.94225605331066e-120
4,"impostos",5.94225605331066e-120
4,"para",4.82450803736610e-82
4,"reduz",5.94225605331066e-120
4,"reforma",5.94225605331066e-120
4,"simplifica",5.94225605331066e-120
4,"tributaria",5.94225605331066e-120
4,"ampliado",3.0508754052197e-119
4,"basica",3.0508754052197e-119
4,"do",0.0526315789473684
4,"educacao",3.0508754051812e-119
4,"fundeb",3.0508754051812e-119
4,"novos",3.0508754051812e-119
4,"recebe",3.0508754051812e-119
4,"recursos",6.36490343186149e-82
4,"alfabetizacao",0.0526315789473684
4,"aprendizagem",0.0526315789473684
4,"metas",0.0526315789473684
4,"novo",0.105263157894737
4,"pne",0.0526315789473684
4,"sao",0.0526315789473684
4,"condicoes",2.37690242132414e-119
4,"debatem",2.37690242132414e-119
4,"escolas",2.37690242132414e-119
4,"nas",5.21270884980814e-82
4,"professores",2.37690242132414e-119
4,"remuneracao",2.37690242132414e-119
4,"trabalho",2.37690242132414e-119
4,"cofins",0.0526315789473684
4,"dual",0.0526315789473684
4,"fiscal",0.0526315789473684
4,"icms",0.0526315789473684
4,"iva",0.0526315789473684
4,"modelo",0.0526315789473684
4,"no",0.0526315789473684
4,"pis",0.0526315789473684
4,"substitui",0.0526315789473684
4,"aliquotas",7.62718851295254e-120
4,"congresso",7.62718851295254e-120
4,"debate",4.36508137517506e-82
4,"economicos",7.62718851295254e-120
4,"excecoes",7.62718851295254e-120
4,"setores",7.62718851295254e-120
4,"artificial",2.37690242132414e-119
4,"da",2.37690242132414e-119
4,"dados",4.93499080905532e-82
4,"inteligencia",2.37690242132414e-119
4,"legal",2.37690242132414e-119
4,"marco",2.37690242132414e-119
4,"regulamenta",2.37690242132414e-119
4,"uso",2.37690242132414e-119
4,"lei",2.01746755821919e-119
4,"na",2.01746755821919e-119
4,"nova",2.01746755821919e-119
4,"prioridades",2.01746755821919e-119
4,"privacidade",2.01746755821919e-119
4,"seguranca",2.01746755821919e-119
4,"algoritmos",2.51877635477698e-119
4,"auditoria",2.51877635477698e-119
4,"ia",2.51877635477698e-119
4,"precisam",2.51877635477698e-119
4,"publica",2.51877635477698e-119
4,"transparencia",2.51877635477698e-119
4,"amplia",4.30008730852989e-119
4,"habitacional",3.35023697590642e-119
4,"moradia",4.30008730852989e-119
4,"popular",4.30008730852989e-119
4,"programa",4.30008730852989e-119
4,"afeta",2.51877635477698e-119
4,"baixa",2.51877635477698e-119
4,"cidades",2.51877635477698e-119
4,"deficit",2.51877635477698e-119
4,"familias",2.51877635477698e-119
4,"renda",2.51877635477698e-119
4,"em",3.0508754051812e-119
4,"favelas",3.0508754051812e-119
4,"fundiaria",3.0508754051812e-119
4,"regularizacao",3.0508754051812e-119
4,"urbanizacao",3.0508754051812e-119
