"doc_id","topic","gamma"
"doc_6",1,0.00125136253521035
"doc_6",2,0.00125136253521034
"doc_6",3,0.996245912394369
"doc_6",4,0.00125136253521036
"doc_1",1,0.996245912394369
"doc_1",2,0.00125136253521036
"doc_1",3,0.00125136253521035
"doc_1",4,0.00125136253521037
"doc_10",1,0.0014069025795223
"doc_10",2,0.995779292261433
"doc_10",3,0.0014069025795223
"doc_10",4,0.00140690257952231
"doc_11",1,0.00140690257952227
"doc_11",2,0.0014069025795223
"doc_11",3,0.0014069025795223
"doc_11",4,0.995779292261433
"doc_12",1,0.00125136253521036
"doc_12",2,0.996245912394369
"doc_12",3,0.00125136253521037
"doc_12",4,0.00125136253521037
"doc_2",1,0.00102477470311428
"doc_2",2,0.00102477470311431
"doc_2",3,0.0010247747031143
"doc_2",4,0.996925675890657
"doc_3",1,0.995779292261433
"doc_3",2,0.00140690257952232
"doc_3",3,0.00140690257952229
"doc_3",4,0.00140690257952233
"doc_4",1,0.00125136253521036
"doc_4",2,0.996245912394369
"doc_4",3,0.0012513625352104
"doc_4",4,0.00125136253521036
"doc_5",1,0.00112679029095138
"doc_5",2,0.0011267902909514
"doc_5",3,0.996619629127146
"doc_5",4,0.00112679029095141
"doc_7",1,0.00160659704772225
"doc_7",2,0.00160659704772225
"doc_7",3,0.995180208856833
"doc_7",4,0.00160659704772226
"doc_8",1,0.00125136253521036
"doc_8",2,0.00125136253521039
"doc_8",3,0.996245912394369
"doc_8",4,0.00125136253521036
"doc_9",1,0.00140690257952228
"doc_9",2,0.995779292261433
"doc_9",3,0.00140690257952231
"doc_9",4,0.0014069025795223
